"Web Search Interest: ""·Î°©""",,
China; 2004 - present,,
,,
Interest over time,,
Week,·Î°©,
2007-12-23 - 2007-12-29,5%,44%
2007-12-30 - 2008-01-05,3%,31%
2008-01-06 - 2008-01-12,11%,7%
2008-01-13 - 2008-01-19,5%,11%
2008-01-20 - 2008-01-26,-3%,33%
2008-01-27 - 2008-02-02,-7%,-13%
2008-02-03 - 2008-02-09,-16%,-24%
2008-02-10 - 2008-02-16,-2%,39%
2008-02-17 - 2008-02-23,5%,31%
2008-02-24 - 2008-03-01,7%,31%
2008-03-02 - 2008-03-08,8%,37%
2008-03-09 - 2008-03-15,11%,24%
2008-03-16 - 2008-03-22,8%,26%
2008-03-23 - 2008-03-29,10%,20%
2008-03-30 - 2008-04-05,10%,13%
2008-04-06 - 2008-04-12,13%,37%
2008-04-13 - 2008-04-19,15%,19%
2008-04-20 - 2008-04-26,13%,28%
2008-04-27 - 2008-05-03,16%,-6%
2008-05-04 - 2008-05-10,46%,11%
2008-05-11 - 2008-05-17,20%,15%
2008-05-18 - 2008-05-24,13%,22%
2008-05-25 - 2008-05-31,18%,30%
2008-06-01 - 2008-06-07,16%,15%
2008-06-08 - 2008-06-14,16%,4%
2008-06-15 - 2008-06-21,13%,15%
2008-06-22 - 2008-06-28,10%,30%
2008-06-29 - 2008-07-05,7%,9%
2008-07-06 - 2008-07-12,8%,15%
2008-07-13 - 2008-07-19,7%,22%
2008-07-20 - 2008-07-26,8%,-15%
2008-07-27 - 2008-08-02,13%,-4%
2008-08-03 - 2008-08-09,10%,-4%
2008-08-10 - 2008-08-16,5%,15%
2008-08-17 - 2008-08-23,11%,9%
2008-08-24 - 2008-08-30,18%,26%
2008-08-31 - 2008-09-06,18%,0%
2008-09-07 - 2008-09-13,23%,9%
2008-09-14 - 2008-09-20,64%,4%
2008-09-21 - 2008-09-27,33%,-6%
2008-09-28 - 2008-10-04,13%,-13%
2008-10-05 - 2008-10-11,25%,13%
2008-10-12 - 2008-10-18,34%,-11%
2008-10-19 - 2008-10-25,36%,13%
2008-10-26 - 2008-11-01,30%,22%
2008-11-02 - 2008-11-08,25%,9%
2008-11-09 - 2008-11-15,28%,7%
2008-11-16 - 2008-11-22,26%,15%
2008-11-23 - 2008-11-29,26%,31%
2008-11-30 - 2008-12-06,36%,17%
2008-12-07 - 2008-12-13,34%,20%
2008-12-14 - 2008-12-20,31%,28%
2008-12-21 - 2008-12-27,28%,13%
2008-12-28 - 2009-01-03,30%,-2%
2009-01-04 - 2009-01-10,34%,13%
2009-01-11 - 2009-01-17,25%,26%
2009-01-18 - 2009-01-24,3%,4%
2009-01-25 - 2009-01-31,-7%,6%
2009-02-01 - 2009-02-07,15%,30%
2009-02-08 - 2009-02-14,13%,20%
2009-02-15 - 2009-02-21,13%,19%
2009-02-22 - 2009-02-28,11%,15%
2009-03-01 - 2009-03-07,16%,20%
2009-03-08 - 2009-03-14,18%,19%
2009-03-15 - 2009-03-21,21%,43%
2009-03-22 - 2009-03-28,18%,30%
2009-03-29 - 2009-04-04,15%,15%
2009-04-05 - 2009-04-11,21%,19%
2009-04-12 - 2009-04-18,25%,54%
2009-04-19 - 2009-04-25,20%,19%
2009-04-26 - 2009-05-02,20%,24%
2009-05-03 - 2009-05-09,20%,52%
2009-05-10 - 2009-05-16,33%,44%
2009-05-17 - 2009-05-23,26%,31%
2009-05-24 - 2009-05-30,39%,19%
2009-05-31 - 2009-06-06,23%,44%
2009-06-07 - 2009-06-13,20%,37%
2009-06-14 - 2009-06-20,18%,24%
2009-06-21 - 2009-06-27,13%,13%
2009-06-28 - 2009-07-04,11%,13%
2009-07-05 - 2009-07-11,11%,6%
2009-07-12 - 2009-07-18,11%,2%
2009-07-19 - 2009-07-25,11%,0%
2009-07-26 - 2009-08-01,10%,30%
2009-08-02 - 2009-08-08,15%,-4%
2009-08-09 - 2009-08-15,16%,20%
2009-08-16 - 2009-08-22,18%,9%
2009-08-23 - 2009-08-29,11%,13%
2009-08-30 - 2009-09-05,21%,20%
2009-09-06 - 2009-09-12,21%,15%
2009-09-13 - 2009-09-19,20%,17%
2009-09-20 - 2009-09-26,11%,0%
2009-09-27 - 2009-10-03,-3%,11%
2009-10-04 - 2009-10-10,8%,19%
2009-10-11 - 2009-10-17,8%,15%
2009-10-18 - 2009-10-24,16%,-4%
2009-10-25 - 2009-10-31,18%,0%
2009-11-01 - 2009-11-07,16%,-2%
2009-11-08 - 2009-11-14,16%,13%
2009-11-15 - 2009-11-21,8%,-4%
2009-11-22 - 2009-11-28,11%,9%
2009-11-29 - 2009-12-05,15%,4%
2009-12-06 - 2009-12-12,8%,-9%
2009-12-13 - 2009-12-19,7%,24%
2009-12-20 - 2009-12-26,7%,9%
2009-12-27 - 2010-01-02,-3%,-17%
2010-01-03 - 2010-01-09,5%,20%
2010-01-10 - 2010-01-16,7%,-6%
2010-01-17 - 2010-01-23,3%,6%
2010-01-24 - 2010-01-30,3%,30%
2010-01-31 - 2010-02-06,3%,6%
2010-02-07 - 2010-02-13,-10%,-17%
2010-02-14 - 2010-02-20,-8%,-28%
2010-02-21 - 2010-02-27,3%,26%
2010-02-28 - 2010-03-06,11%,35%
2010-03-07 - 2010-03-13,15%,7%
2010-03-14 - 2010-03-20,13%,17%
2010-03-21 - 2010-03-27,20%,41%
2010-03-28 - 2010-04-03,11%,28%
2010-04-04 - 2010-04-10,15%,31%
2010-04-11 - 2010-04-17,16%,26%
2010-04-18 - 2010-04-24,13%,22%
2010-04-25 - 2010-05-01,15%,24%
2010-05-02 - 2010-05-08,16%,6%
2010-05-09 - 2010-05-15,20%,33%
2010-05-16 - 2010-05-22,20%,26%
2010-05-23 - 2010-05-29,21%,48%
2010-05-30 - 2010-06-05,20%,54%
2010-06-06 - 2010-06-12,13%,11%
2010-06-13 - 2010-06-19,5%,6%
2010-06-20 - 2010-06-26,15%,4%
2010-06-27 - 2010-07-03,15%,20%
2010-07-04 - 2010-07-10,13%,-11%
2010-07-11 - 2010-07-17,11%,-6%
2010-07-18 - 2010-07-24,11%,6%
2010-07-25 - 2010-07-31,16%,-11%
2010-08-01 - 2010-08-07,15%,4%
2010-08-08 - 2010-08-14,20%,15%
2010-08-15 - 2010-08-21,13%,19%
2010-08-22 - 2010-08-28,15%,9%
2010-08-29 - 2010-09-04,18%,6%
2010-09-05 - 2010-09-11,30%,13%
2010-09-12 - 2010-09-18,21%,17%
2010-09-19 - 2010-09-25,13%,2%
2010-09-26 - 2010-10-02,11%,11%
2010-10-03 - 2010-10-09,11%,0%
2010-10-10 - 2010-10-16,15%,30%
2010-10-17 - 2010-10-23,18%,17%
2010-10-24 - 2010-10-30,13%,7%
2010-10-31 - 2010-11-06,13%,20%
2010-11-07 - 2010-11-13,16%,30%
2010-11-14 - 2010-11-20,15%,50%
2010-11-21 - 2010-11-27,18%,35%
2010-11-28 - 2010-12-04,23%,26%
2010-12-05 - 2010-12-11,18%,41%
2010-12-12 - 2010-12-18,16%,13%
2010-12-19 - 2010-12-25,18%,6%
2010-12-26 - 2011-01-01,10%,9%
2011-01-02 - 2011-01-08,11%,15%
2011-01-09 - 2011-01-15,16%,30%
2011-01-16 - 2011-01-22,5%,17%
2011-01-23 - 2011-01-29,5%,22%
2011-01-30 - 2011-02-05,-10%,2%
2011-02-06 - 2011-02-12,11%,7%
2011-02-13 - 2011-02-19,15%,31%
2011-02-20 - 2011-02-26,16%,39%
2011-02-27 - 2011-03-05,15%,22%
2011-03-06 - 2011-03-12,18%,39%
2011-03-13 - 2011-03-19,21%,31%
2011-03-20 - 2011-03-26,20%,22%
2011-03-27 - 2011-04-02,26%,43%
2011-04-03 - 2011-04-09,18%,35%
2011-04-10 - 2011-04-16,21%,41%
2011-04-17 - 2011-04-23,18%,35%
2011-04-24 - 2011-04-30,20%,19%
2011-05-01 - 2011-05-07,18%,19%
2011-05-08 - 2011-05-14,18%,30%
2011-05-15 - 2011-05-21,20%,24%
2011-05-22 - 2011-05-28,16%,37%
2011-05-29 - 2011-06-04,28%,35%
2011-06-05 - 2011-06-11,13%,26%
2011-06-12 - 2011-06-18,23%,26%
2011-06-19 - 2011-06-25,21%,11%
2011-06-26 - 2011-07-02,13%,13%
2011-07-03 - 2011-07-09,16%,-2%
2011-07-10 - 2011-07-16,15%,7%
2011-07-17 - 2011-07-23,13%,11%
2011-07-24 - 2011-07-30,11%,2%
2011-07-31 - 2011-08-06,3%,2%
2011-08-07 - 2011-08-13,25%,-7%
2011-08-14 - 2011-08-20,18%,11%
2011-08-21 - 2011-08-27,13%,2%
2011-08-28 - 2011-09-03,10%,26%
2011-09-04 - 2011-09-10,16%,9%
2011-09-11 - 2011-09-17,11%,6%
2011-09-18 - 2011-09-24,10%,6%
2011-09-25 - 2011-10-01,11%,7%
2011-10-02 - 2011-10-08,0%,6%
2011-10-09 - 2011-10-15,18%,19%
2011-10-16 - 2011-10-22,20%,13%
2011-10-23 - 2011-10-29,20%,13%
2011-10-30 - 2011-11-05,18%,4%
2011-11-06 - 2011-11-12,20%,2%
2011-11-13 - 2011-11-19,33%,26%
2011-11-20 - 2011-11-26,18%,19%
2011-11-27 - 2011-12-03,16%,20%
2011-12-04 - 2011-12-10,13%,11%
2011-12-11 - 2011-12-17,15%,19%
2011-12-18 - 2011-12-24,18%,13%
2011-12-25 - 2011-12-31,18%,26%
2012-01-01 - 2012-01-07,11%,-9%
2012-01-08 - 2012-01-14,8%,15%
2012-01-15 - 2012-01-21,-5%,-22%
2012-01-22 - 2012-01-28,-11%,-9%
2012-01-29 - 2012-02-04,13%,13%
2012-02-05 - 2012-02-11,13%,17%
2012-02-12 - 2012-02-18,16%,39%
2012-02-19 - 2012-02-25,23%,33%
2012-02-26 - 2012-03-03,23%,39%
2012-03-04 - 2012-03-10,21%,11%
2012-03-11 - 2012-03-17,23%,30%
2012-03-18 - 2012-03-24,26%,31%
2012-03-25 - 2012-03-31,30%,30%
2012-04-01 - 2012-04-07,16%,26%
2012-04-08 - 2012-04-14,23%,15%
2012-04-15 - 2012-04-21,25%,35%
2012-04-22 - 2012-04-28,26%,26%
2012-04-29 - 2012-05-05,20%,24%
2012-05-06 - 2012-05-12,33%,26%
2012-05-13 - 2012-05-19,26%,33%
2012-05-20 - 2012-05-26,31%,41%
2012-05-27 - 2012-06-02,30%,30%
2012-06-03 - 2012-06-09,26%,17%
2012-06-10 - 2012-06-16,28%,33%
2012-06-17 - 2012-06-23,21%,20%
2012-06-24 - 2012-06-30,18%,15%
2012-07-01 - 2012-07-07,21%,2%
2012-07-08 - 2012-07-14,15%,7%
2012-07-15 - 2012-07-21,21%,0%
2012-07-22 - 2012-07-28,15%,17%
2012-07-29 - 2012-08-04,13%,11%
2012-08-05 - 2012-08-11,15%,7%
2012-08-12 - 2012-08-18,18%,6%
2012-08-19 - 2012-08-25,15%,-2%
2012-08-26 - 2012-09-01,21%,6%
2012-09-02 - 2012-09-08,20%,17%
2012-09-09 - 2012-09-15,16%,-4%
2012-09-16 - 2012-09-22,16%,-4%
2012-09-23 - 2012-09-29,11%,11%
2012-09-30 - 2012-10-06,7%,-2%
2012-10-07 - 2012-10-13,21%,2%
2012-10-14 - 2012-10-20,23%,35%
2012-10-21 - 2012-10-27,23%,17%
2012-10-28 - 2012-11-03,15%,22%
2012-11-04 - 2012-11-10,18%,4%
2012-11-11 - 2012-11-17,20%,17%
2012-11-18 - 2012-11-24,20%,13%
2012-11-25 - 2012-12-01,21%,17%
2012-12-02 - 2012-12-08,20%,4%
2012-12-09 - 2012-12-15,18%,13%
2012-12-16 - 2012-12-22,21%,17%
2012-12-23 - 2012-12-29,16%,0%
2012-12-30 - 2013-01-05,16%,-6%
2013-01-06 - 2013-01-12,26%,37%
2013-01-13 - 2013-01-19,23%,31%
2013-01-20 - 2013-01-26,21%,13%
2013-01-27 - 2013-02-02,16%,13%
2013-02-03 - 2013-02-09,8%,-13%
2013-02-10 - 2013-02-16,10%,24%
2013-02-17 - 2013-02-23,23%,28%
2013-02-24 - 2013-03-02,25%,26%
2013-03-03 - 2013-03-09,28%,24%
2013-03-10 - 2013-03-16,34%,43%
2013-03-17 - 2013-03-23,30%,44%
2013-03-24 - 2013-03-30,26%,28%
2013-03-31 - 2013-04-06,28%,31%
2013-04-07 - 2013-04-13,39%,-2%
2013-04-14 - 2013-04-20, , 
2013-04-21 - 2013-04-27, , 
2013-04-28 - 2013-05-04, , 
,,
,,
"Top subregions for ""·Î°©""",,
Subregion,·Î°©,
Shanghai,100,
Liaoning,100,
Jilin,99,
Beijing,95,
Heilongjiang,93,
Tianjin,91,
Shandong,87,
Hebei,81,
Zhejiang,81,
Chongqing,78,
Anhui,77,
Jiangsu,77,
Hunan,76,
Hubei,71,
Gansu,71,
Shanxi,69,
Nei Monggol,69,
Sichuan,68,
Shaanxi,64,
Jiangxi,63,
Henan,62,
Xinjiang,62,
Fujian,61,
Guangdong,61,
Yunnan,55,
Guizhou,54,
Guangxi,53,
Hainan,51,
Xizang,0,
Qinghai,0,
Ningxia,0,
,,
,,
"Top cities for ""·Î°©""",,
City,·Î°©,
Shanghai,100,
Beijing,100,
Shenyang,99,
Harbin,90,
Tianjin,88,
Jinan,85,
Hangzhou,83,
Qingdao,78,
Chongqing,76,
Nanjing,76,
Shijiazhuang,75,
Changsha,74,
Hefei,70,
Chengdu,69,
Wuhan,67,
,,
,,
,,
"Top searches for ""·Î°©""",,
????????????,100,
????????????,95,
????????????,90,
???,65,
????????????,60,
????????????,60,
????????????,55,
????????????,50,
???????????????,50,
??????????????????,40,
???,40,
??????????????????,40,
???????????????,40,
????????????,35,
???????????????,30,
????????????,25,
??????,25,
??????????????????,20,
??????????????????,20,
???????????€???,15,
??????,15,
????????????,15,
??????????????????,15,
????????????,15,
?????????,15,
???????????????,15,
????????????,10,
???????????????,10,
????????????,10,
??????,10,
??????,10,
?????????,10,
????????????,10,
????????????,10,
????????????,10,
???????????????,10,
???????????????,10,
????????????,10,
??????,5,
???????????????,5,
????????????,5,
????????????,5,
????????????,5,
??????????????????,5,
????????????,5,
???????????????,5,
??????????????????,5,
????????????,5,
??????????????????,5,
??????????????????,5,
,,
,,
,,
"Rising searches for ""·Î°©""",,
??????????????????,800%,
???????????????,800%,
??????????????????,700%,
????????????,450%,
????????????,400%,
????????????,400%,
????????????,300%,
????????????,250%,
???????????????,250%,
????????????,150%,
